;;;TRATO POR CURRAL;;;;;;;;;;;
Id. Carregamento;Curral;Lote;;Trato;Peso Abastecido (kg);Dieta;;Data;Hora;Vagão;Tratador;Carregamento;%MS Dieta Real;%Ndt Dieta Real
166015910000000;34;34-G2-25;;1;755,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:46:23;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;43;43-G3-25;;1;420,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:44:57;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;44;44-G3-25;;1;510,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:44:40;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;45;45-G3-25;;1;485,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:44:24;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;59;59-G2-25;;1;270,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:33:41;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;60;60-G2-25;;1;330,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:33:23;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;61;61-G2-25;;1;290,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:33:03;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;62;62-G1-25;;1;335,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:32:43;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;71;71-G1-25;;1;1055,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:37:02;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;72;72-G1-25;;1;1515,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:38:53;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166015910000000;74;74-G1-25;;1;545,0000;CRECIMIENTO SORGO.19/08/2025;;01/09/2025;07:40:21;BAHMAN;AGUSTIN LOPEZ;2 - CRECIMIENTO SORGO.19/08/2025 - BAHMAN - 2025-09-01 07:29;43,35%;77,05%
166016400000000;75;75-G2-25;;1;2470,0000;RECRIA FEMEA 08/08/2025;;01/09/2025;08:58:47;BAHMAN;AGUSTIN LOPEZ;4 - RECRIA FEMEA 08/08/2025 - BAHMAN - 2025-09-01 08:51;35,18%;63,93%
166016400000000;LOTE SILO;LOTE SILO;;1;1160,0000;RECRIA FEMEA 08/08/2025;;01/09/2025;09:14:24;BAHMAN;AGUSTIN LOPEZ;4 - RECRIA FEMEA 08/08/2025 - BAHMAN - 2025-09-01 08:51;35,18%;63,93%
166018320000000;PROTEINADO PASTO;;;1;890,0000;RECRIA FEMEA 08/08/2025;;01/09/2025;16:03:08;BAHMAN;AGUSTIN LOPEZ;12 - RECRIA FEMEA 08/08/2025 - BAHMAN - 2025-09-01 15:50;35,25%;63,91%
166015520000000;01;01-G1-25;;1;325,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:03:39;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;02;02-G2-25;;1;315,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:03:55;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;06;06-G1-25;;1;290,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:04:42;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;08;08-G2-25;;1;365,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:05:20;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;09;49-G1-25;;1;235,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:05:37;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
166015520000000;11;11-G1-25;;1;190,0000;TERMINACION SORGO-19/08/2025;;01/09/2025;07:06:08;BAHMAN;AGUSTIN LOPEZ;1 - TERMINACION SORGO-19/08/2025 - BAHMAN - 2025-09-01 06:38;45,10%;78,38%
