;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
14/09/2025;166057600000000;;11:07:53;RECRIA FEMEA 08/08/2025;;7;CAPIASU;4224,000000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057770000000;;13:17:49;CRECIMIENTO SORGO.19/08/2025;;8;Sorgo, grão úmido silagem;1303,000000000;RUBEN VIERA;BAHMAN;38,74%;77,05%
14/09/2025;166057770000000;;13:20:28;CRECIMIENTO SORGO.19/08/2025;;8;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,74%;77,05%
14/09/2025;166057770000000;;13:22:39;CRECIMIENTO SORGO.19/08/2025;;8;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,74%;77,05%
14/09/2025;166057770000000;;13:22:39;CRECIMIENTO SORGO.19/08/2025;;8;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,74%;77,05%
14/09/2025;166057770000000;;13:22:39;CRECIMIENTO SORGO.19/08/2025;;8;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,74%;77,05%
14/09/2025;166057350000000;;10:21:52;TERMINACION SORGO-19/08/2025;;6;Sorgo, silagem;4230,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057600000000;;10:56:31;RECRIA FEMEA 08/08/2025;;7;MAIZ HUMIDO;1550,000000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057600000000;;10:58:43;RECRIA FEMEA 08/08/2025;;7;FARELO DE SOJA;156,474000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057600000000;;10:58:43;RECRIA FEMEA 08/08/2025;;7;UREIA PECUARIA;26,448000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057600000000;;10:58:43;RECRIA FEMEA 08/08/2025;;7;NUCLEO CONFINAMIENTO;19,836000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057600000000;;10:58:43;RECRIA FEMEA 08/08/2025;;7;CALCAREO;17,628000000;RUBEN VIERA;BAHMAN;34,99%;63,85%
14/09/2025;166057350000000;;10:06:52;TERMINACION SORGO-19/08/2025;;6;Sorgo, grão úmido silagem;1595,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057350000000;;10:11:33;TERMINACION SORGO-19/08/2025;;6;MAIZ HUMIDO;1774,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
14/09/2025;166057350000000;;10:13:47;TERMINACION SORGO-19/08/2025;;6;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
