;;ITENS DE TRATO;;;;;;;;;;
Data de Inclusão;Id. Carregamento;;Hora;Dieta;;Carregamento;Ingrediente;Quantidade MN (kg);Motorista;Vagão;%MS Dieta Real;%NDT Dieta Real
13/09/2025;166054000000000;;08:37:33;RECRIA FEMEA 08/08/2025;;3;UREIA PECUARIA;35,264000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
13/09/2025;166054000000000;;08:37:33;RECRIA FEMEA 08/08/2025;;3;NUCLEO CONFINAMIENTO;26,448000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
13/09/2025;166054000000000;;08:37:33;RECRIA FEMEA 08/08/2025;;3;CALCAREO;23,504000000;RUBEN VIERA;BAHMAN;35,00%;63,87%
13/09/2025;166053750000000;;07:41:10;TERMINACION SORGO-19/08/2025;;2;Sorgo, grão úmido silagem;1595,000000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053750000000;;07:43:31;TERMINACION SORGO-19/08/2025;;2;MAIZ HUMIDO;1754,000000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053750000000;;07:46:42;TERMINACION SORGO-19/08/2025;;2;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053750000000;;07:46:42;TERMINACION SORGO-19/08/2025;;2;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053750000000;;07:46:42;TERMINACION SORGO-19/08/2025;;2;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053750000000;;07:46:42;TERMINACION SORGO-19/08/2025;;2;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,17%;78,56%
13/09/2025;166053360000000;;06:12:41;CRECIMIENTO SORGO.19/08/2025;;1;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
13/09/2025;166053360000000;;06:17:16;CRECIMIENTO SORGO.19/08/2025;;1;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
13/09/2025;166053360000000;;06:17:16;CRECIMIENTO SORGO.19/08/2025;;1;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
13/09/2025;166053360000000;;06:17:16;CRECIMIENTO SORGO.19/08/2025;;1;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
13/09/2025;166053360000000;;06:17:16;CRECIMIENTO SORGO.19/08/2025;;1;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
13/09/2025;166053360000000;;06:26:14;CRECIMIENTO SORGO.19/08/2025;;1;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
12/09/2025;166053230000000;;16:20:41;TERMINACION SORGO-19/08/2025;;10;FARELO DE SOJA;77,430579000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166053230000000;;16:20:41;TERMINACION SORGO-19/08/2025;;10;UREIA PECUARIA;10,849317000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166053230000000;;16:20:41;TERMINACION SORGO-19/08/2025;;10;NUCLEO CONFINAMIENTO;8,584143000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166053230000000;;16:20:41;TERMINACION SORGO-19/08/2025;;10;CALCAREO;7,804329000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166053230000000;;16:28:08;TERMINACION SORGO-19/08/2025;;10;Sorgo, silagem;1091,000000000;RUBEN VIERA;BAHMAN;41,14%;78,55%
13/09/2025;166053360000000;;06:09:32;CRECIMIENTO SORGO.19/08/2025;;1;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
12/09/2025;166053000000000;;15:35:59;CRECIMIENTO SORGO.19/08/2025;;9;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053000000000;;15:35:59;CRECIMIENTO SORGO.19/08/2025;;9;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053000000000;;15:35:59;CRECIMIENTO SORGO.19/08/2025;;9;NUCLEO CONFINAMIENTO;31,651514563;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053000000000;;15:43:41;CRECIMIENTO SORGO.19/08/2025;;9;Sorgo, silagem;4758,000000000;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053230000000;;16:13:58;TERMINACION SORGO-19/08/2025;;10;Sorgo, grão úmido silagem;406,000000000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166053230000000;;16:16:21;TERMINACION SORGO-19/08/2025;;10;MAIZ HUMIDO;456,000000000;RUBEN VIERA;BAHMAN;41,14%;78,55%
12/09/2025;166052730000000;;14:53:39;CRECIMIENTO SORGO.19/08/2025;;8;CALCAREO;28,777048544;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052730000000;;14:53:39;CRECIMIENTO SORGO.19/08/2025;;8;NUCLEO CONFINAMIENTO;31,651514563;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052730000000;;15:01:52;CRECIMIENTO SORGO.19/08/2025;;8;Sorgo, silagem;4773,000000000;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166053000000000;;15:30:31;CRECIMIENTO SORGO.19/08/2025;;9;Sorgo, grão úmido silagem;1313,000000000;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053000000000;;15:32:57;CRECIMIENTO SORGO.19/08/2025;;9;MAIZ HUMIDO;1531,000000000;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166053000000000;;15:35:59;CRECIMIENTO SORGO.19/08/2025;;9;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,79%;77,09%
12/09/2025;166052520000000;;14:03:12;TERMINACION SORGO-19/08/2025;;7;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052520000000;;14:10:42;TERMINACION SORGO-19/08/2025;;7;Sorgo, silagem;4225,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052730000000;;14:48:26;CRECIMIENTO SORGO.19/08/2025;;8;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052730000000;;14:50:40;CRECIMIENTO SORGO.19/08/2025;;8;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052730000000;;14:53:39;CRECIMIENTO SORGO.19/08/2025;;8;FARELO DE SOJA;316,806640777;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052730000000;;14:53:39;CRECIMIENTO SORGO.19/08/2025;;8;UREIA PECUARIA;39,999611650;RUBEN VIERA;BAHMAN;38,71%;77,03%
12/09/2025;166052260000000;;13:29:31;CRECIMIENTO SORGO.19/08/2025;;6;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052520000000;;13:56:44;TERMINACION SORGO-19/08/2025;;7;Sorgo, grão úmido silagem;1595,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052520000000;;13:59:48;TERMINACION SORGO-19/08/2025;;7;MAIZ HUMIDO;1769,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052520000000;;14:03:12;TERMINACION SORGO-19/08/2025;;7;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052520000000;;14:03:12;TERMINACION SORGO-19/08/2025;;7;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052520000000;;14:03:12;TERMINACION SORGO-19/08/2025;;7;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166052260000000;;13:15:47;CRECIMIENTO SORGO.19/08/2025;;6;Sorgo, grão úmido silagem;1303,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052260000000;;13:18:55;CRECIMIENTO SORGO.19/08/2025;;6;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052260000000;;13:21:31;CRECIMIENTO SORGO.19/08/2025;;6;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052260000000;;13:21:31;CRECIMIENTO SORGO.19/08/2025;;6;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052260000000;;13:21:31;CRECIMIENTO SORGO.19/08/2025;;6;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166052260000000;;13:21:31;CRECIMIENTO SORGO.19/08/2025;;6;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
12/09/2025;166051990000000;;09:47:55;CRECIMIENTO SORGO.19/08/2025;;5;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051990000000;;09:50:44;CRECIMIENTO SORGO.19/08/2025;;5;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051990000000;;09:50:44;CRECIMIENTO SORGO.19/08/2025;;5;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051990000000;;09:50:44;CRECIMIENTO SORGO.19/08/2025;;5;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051990000000;;09:50:44;CRECIMIENTO SORGO.19/08/2025;;5;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051990000000;;09:59:32;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, silagem;4758,000000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051730000000;;08:55:19;TERMINACION SORGO-19/08/2025;;4;FARELO DE SOJA;300,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051730000000;;08:55:19;TERMINACION SORGO-19/08/2025;;4;UREIA PECUARIA;42,072000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051730000000;;08:55:19;TERMINACION SORGO-19/08/2025;;4;NUCLEO CONFINAMIENTO;33,288000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051730000000;;08:55:19;TERMINACION SORGO-19/08/2025;;4;CALCAREO;30,264000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051730000000;;09:03:52;TERMINACION SORGO-19/08/2025;;4;Sorgo, silagem;4230,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051990000000;;09:45:20;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,71%;77,07%
12/09/2025;166051410000000;;08:17:38;CRECIMIENTO SORGO.19/08/2025;;3;FARELO DE SOJA;309,209359223;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051410000000;;08:17:38;CRECIMIENTO SORGO.19/08/2025;;3;UREIA PECUARIA;39,040388350;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051410000000;;08:17:38;CRECIMIENTO SORGO.19/08/2025;;3;CALCAREO;28,086951456;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051410000000;;08:17:38;CRECIMIENTO SORGO.19/08/2025;;3;NUCLEO CONFINAMIENTO;30,892485437;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051730000000;;08:48:55;TERMINACION SORGO-19/08/2025;;4;Sorgo, grão úmido silagem;1595,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051730000000;;08:51:14;TERMINACION SORGO-19/08/2025;;4;MAIZ HUMIDO;1774,000000000;RUBEN VIERA;BAHMAN;41,21%;78,60%
12/09/2025;166051100000000;;07:23:49;CRECIMIENTO SORGO.19/08/2025;;2;CALCAREO;28,086951456;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051100000000;;07:23:49;CRECIMIENTO SORGO.19/08/2025;;2;NUCLEO CONFINAMIENTO;30,892485437;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051100000000;;07:32:03;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, silagem;4788,000000000;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051410000000;;08:05:27;CRECIMIENTO SORGO.19/08/2025;;3;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051410000000;;08:11:51;CRECIMIENTO SORGO.19/08/2025;;3;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166051410000000;;08:14:41;CRECIMIENTO SORGO.19/08/2025;;3;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,66%;77,10%
12/09/2025;166050870000000;;06:18:14;TERMINACION SORGO-19/08/2025;;1;CALCAREO;18,472389000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166050870000000;;06:25:23;TERMINACION SORGO-19/08/2025;;1;Sorgo, silagem;2597,000000000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166051100000000;;07:18:07;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051100000000;;07:20:45;CRECIMIENTO SORGO.19/08/2025;;2;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051100000000;;07:23:49;CRECIMIENTO SORGO.19/08/2025;;2;FARELO DE SOJA;309,209359223;RUBEN VIERA;BAHMAN;38,61%;77,08%
12/09/2025;166051100000000;;07:23:49;CRECIMIENTO SORGO.19/08/2025;;2;UREIA PECUARIA;39,040388350;RUBEN VIERA;BAHMAN;38,61%;77,08%
11/09/2025;166050760000000;;18:56:21;RECRIA FEMEA 08/08/2025;;11;CALCAREO;5,811364000;RUBEN VIERA;BAHMAN;35,04%;63,93%
12/09/2025;166050870000000;;06:14:11;TERMINACION SORGO-19/08/2025;;1;Sorgo, grão úmido silagem;988,000000000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166050870000000;;06:15:34;TERMINACION SORGO-19/08/2025;;1;MAIZ HUMIDO;1105,000000000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166050870000000;;06:18:14;TERMINACION SORGO-19/08/2025;;1;FARELO DE SOJA;183,273639000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166050870000000;;06:18:14;TERMINACION SORGO-19/08/2025;;1;UREIA PECUARIA;25,679697000;RUBEN VIERA;BAHMAN;41,28%;78,69%
12/09/2025;166050870000000;;06:18:14;TERMINACION SORGO-19/08/2025;;1;NUCLEO CONFINAMIENTO;20,318163000;RUBEN VIERA;BAHMAN;41,28%;78,69%
11/09/2025;166050530000000;;16:53:40;CRECIMIENTO SORGO.19/08/2025;;10;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050760000000;;18:48:08;RECRIA FEMEA 08/08/2025;;11;CAPIASU;1388,000000000;RUBEN VIERA;BAHMAN;35,04%;63,93%
11/09/2025;166050760000000;;18:54:00;RECRIA FEMEA 08/08/2025;;11;MAIZ HUMIDO;513,000000000;RUBEN VIERA;BAHMAN;35,04%;63,93%
11/09/2025;166050760000000;;18:56:21;RECRIA FEMEA 08/08/2025;;11;FARELO DE SOJA;51,584262000;RUBEN VIERA;BAHMAN;35,04%;63,93%
11/09/2025;166050760000000;;18:56:21;RECRIA FEMEA 08/08/2025;;11;UREIA PECUARIA;8,719024000;RUBEN VIERA;BAHMAN;35,04%;63,93%
11/09/2025;166050760000000;;18:56:21;RECRIA FEMEA 08/08/2025;;11;NUCLEO CONFINAMIENTO;6,539268000;RUBEN VIERA;BAHMAN;35,04%;63,93%
11/09/2025;166050530000000;;16:39:57;CRECIMIENTO SORGO.19/08/2025;;10;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050530000000;;16:42:38;CRECIMIENTO SORGO.19/08/2025;;10;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050530000000;;16:45:59;CRECIMIENTO SORGO.19/08/2025;;10;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050530000000;;16:45:59;CRECIMIENTO SORGO.19/08/2025;;10;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050530000000;;16:45:59;CRECIMIENTO SORGO.19/08/2025;;10;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050530000000;;16:45:59;CRECIMIENTO SORGO.19/08/2025;;10;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,70%;77,07%
11/09/2025;166050300000000;;15:44:06;TERMINACION SORGO-19/08/2025;;9;MAIZ HUMIDO;1760,000000000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050300000000;;15:50:19;TERMINACION SORGO-19/08/2025;;9;FARELO DE SOJA;299,588406000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050300000000;;15:50:19;TERMINACION SORGO-19/08/2025;;9;UREIA PECUARIA;41,977338000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050300000000;;15:50:19;TERMINACION SORGO-19/08/2025;;9;NUCLEO CONFINAMIENTO;33,213102000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050300000000;;15:50:19;TERMINACION SORGO-19/08/2025;;9;CALCAREO;30,195906000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050300000000;;15:57:35;TERMINACION SORGO-19/08/2025;;9;Sorgo, silagem;4220,000000000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166050030000000;;14:44:12;CRECIMIENTO SORGO.19/08/2025;;8;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050030000000;;14:44:12;CRECIMIENTO SORGO.19/08/2025;;8;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050030000000;;14:44:12;CRECIMIENTO SORGO.19/08/2025;;8;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050030000000;;14:44:12;CRECIMIENTO SORGO.19/08/2025;;8;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050030000000;;14:52:31;CRECIMIENTO SORGO.19/08/2025;;8;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050300000000;;15:41:33;TERMINACION SORGO-19/08/2025;;9;Sorgo, grão úmido silagem;1596,000000000;RUBEN VIERA;BAHMAN;41,20%;78,59%
11/09/2025;166049800000000;;14:01:28;CRECIMIENTO SORGO.19/08/2025;;7;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049800000000;;14:01:28;CRECIMIENTO SORGO.19/08/2025;;7;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049800000000;;14:01:28;CRECIMIENTO SORGO.19/08/2025;;7;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049800000000;;14:09:20;CRECIMIENTO SORGO.19/08/2025;;7;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166050030000000;;14:38:48;CRECIMIENTO SORGO.19/08/2025;;8;Sorgo, grão úmido silagem;1303,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166050030000000;;14:41:18;CRECIMIENTO SORGO.19/08/2025;;8;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166049650000000;;13:25:55;TERMINACION SORGO-19/08/2025;;6;NUCLEO CONFINAMIENTO;17,892300000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049650000000;;13:25:55;TERMINACION SORGO-19/08/2025;;6;CALCAREO;16,266900000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049650000000;;13:32:16;TERMINACION SORGO-19/08/2025;;6;Sorgo, silagem;2274,000000000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049800000000;;13:56:26;CRECIMIENTO SORGO.19/08/2025;;7;Sorgo, grão úmido silagem;1308,000000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049800000000;;13:58:51;CRECIMIENTO SORGO.19/08/2025;;7;MAIZ HUMIDO;1526,000000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049800000000;;14:01:28;CRECIMIENTO SORGO.19/08/2025;;7;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,73%;77,09%
11/09/2025;166049370000000;;10:49:46;CRECIMIENTO SORGO.19/08/2025;;5;CALCAREO;28,086951456;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;10:49:46;CRECIMIENTO SORGO.19/08/2025;;5;NUCLEO CONFINAMIENTO;30,892485437;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049650000000;;13:20:51;TERMINACION SORGO-19/08/2025;;6;Sorgo, grão úmido silagem;852,000000000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049650000000;;13:23:06;TERMINACION SORGO-19/08/2025;;6;MAIZ HUMIDO;951,000000000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049650000000;;13:25:54;TERMINACION SORGO-19/08/2025;;6;FARELO DE SOJA;161,391900000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049650000000;;13:25:55;TERMINACION SORGO-19/08/2025;;6;UREIA PECUARIA;22,613700000;RUBEN VIERA;BAHMAN;41,17%;78,57%
11/09/2025;166049120000000;;09:01:56;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;09:32:14;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;09:35:26;CRECIMIENTO SORGO.19/08/2025;;5;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;09:59:09;CRECIMIENTO SORGO.19/08/2025;;5;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;10:49:46;CRECIMIENTO SORGO.19/08/2025;;5;FARELO DE SOJA;309,209359223;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049370000000;;10:49:46;CRECIMIENTO SORGO.19/08/2025;;5;UREIA PECUARIA;39,040388350;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:49:27;CRECIMIENTO SORGO.19/08/2025;;4;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:51:49;CRECIMIENTO SORGO.19/08/2025;;4;MAIZ HUMIDO;1521,000000000;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:54:11;CRECIMIENTO SORGO.19/08/2025;;4;FARELO DE SOJA;309,209359223;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:54:11;CRECIMIENTO SORGO.19/08/2025;;4;UREIA PECUARIA;39,040388350;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:54:11;CRECIMIENTO SORGO.19/08/2025;;4;CALCAREO;28,086951456;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166049120000000;;08:54:11;CRECIMIENTO SORGO.19/08/2025;;4;NUCLEO CONFINAMIENTO;30,892485437;RUBEN VIERA;BAHMAN;38,65%;77,09%
11/09/2025;166048940000000;;08:02:05;TERMINACION SORGO-19/08/2025;;3;MAIZ HUMIDO;1100,000000000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048940000000;;08:05:05;TERMINACION SORGO-19/08/2025;;3;FARELO DE SOJA;187,439802000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048940000000;;08:05:05;TERMINACION SORGO-19/08/2025;;3;UREIA PECUARIA;26,263446000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048940000000;;08:05:05;TERMINACION SORGO-19/08/2025;;3;NUCLEO CONFINAMIENTO;20,780034000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048940000000;;08:05:05;TERMINACION SORGO-19/08/2025;;3;CALCAREO;18,892302000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048940000000;;08:11:54;TERMINACION SORGO-19/08/2025;;3;Sorgo, silagem;2641,000000000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048600000000;;07:17:43;CRECIMIENTO SORGO.19/08/2025;;2;FARELO DE SOJA;313,008000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166048600000000;;07:17:43;CRECIMIENTO SORGO.19/08/2025;;2;UREIA PECUARIA;39,520000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166048600000000;;07:17:43;CRECIMIENTO SORGO.19/08/2025;;2;CALCAREO;28,432000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166048600000000;;07:17:44;CRECIMIENTO SORGO.19/08/2025;;2;NUCLEO CONFINAMIENTO;31,272000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166048600000000;;07:26:39;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, silagem;4763,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
11/09/2025;166048940000000;;08:00:15;TERMINACION SORGO-19/08/2025;;3;Sorgo, grão úmido silagem;996,000000000;RUBEN VIERA;BAHMAN;41,18%;78,58%
11/09/2025;166048440000000;;06:10:42;TERMINACION SORGO-19/08/2025;;1;UREIA PECUARIA;20,320776000;RUBEN VIERA;BAHMAN;41,10%;78,54%
11/09/2025;166048440000000;;06:10:42;TERMINACION SORGO-19/08/2025;;1;NUCLEO CONFINAMIENTO;16,078104000;RUBEN VIERA;BAHMAN;41,10%;78,54%
11/09/2025;166048440000000;;06:10:42;TERMINACION SORGO-19/08/2025;;1;CALCAREO;14,617512000;RUBEN VIERA;BAHMAN;41,10%;78,54%
11/09/2025;166048440000000;;06:21:50;TERMINACION SORGO-19/08/2025;;1;Sorgo, silagem;2058,000000000;RUBEN VIERA;BAHMAN;41,10%;78,54%
11/09/2025;166048600000000;;07:12:24;CRECIMIENTO SORGO.19/08/2025;;2;Sorgo, grão úmido silagem;1298,000000000;RUBEN VIERA;BAHMAN;38,71%;77,08%
