;;;DESVIO DO CARREGAMENTO;;;;;;;;;;;
Data;Hora;Pazeiro;;Vagão;Dieta;Nro Carregamento;;Ingrediente;Tipo Ingrediente;Carregado (kg);Previsto (kg);Desvio (kg);Desvio (%);Status
13/09/2025;13:27:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
13/09/2025;13:16:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
13/09/2025;13:11:44;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
13/09/2025;11:32:42;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.225,00;4.230,00;-5;-0,12%;VERDE
13/09/2025;11:22:20;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.759,00;1.769,00;-10;-0,57%;VERDE
13/09/2025;11:20:18;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.605,00;1.595,00;10;0,63%;VERDE
13/09/2025;10:55:14;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
13/09/2025;10:42:03;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.516,00;1.526,00;-10;-0,66%;VERDE
13/09/2025;10:36:28;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
13/09/2025;10:12:06;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
13/09/2025;10:00:59;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
13/09/2025;09:58:18;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
13/09/2025;08:48:21;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;CAPIASU;Vagão;5.627,00;5.632,00;-5;-0,09%;VERDE
13/09/2025;08:34:45;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;3;;MAIZ HUMIDO;Vagão;2.069,00;2.074,00;-5;-0,24%;VERDE
13/09/2025;07:53:50;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;2;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
13/09/2025;07:43:31;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;2;;MAIZ HUMIDO;Vagão;1.754,00;1.769,00;-15;-0,85%;VERDE
13/09/2025;07:41:10;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
13/09/2025;06:26:14;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;1;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
13/09/2025;06:12:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;1;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
13/09/2025;06:09:32;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
12/09/2025;16:28:08;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Sorgo, silagem;Vagão;1.091,00;1.091,00;5000;0,00%;VERDE
12/09/2025;16:18:02;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;7;;MAIZ HUMIDO;Vagão;772;767;5;0,65%;VERDE
12/09/2025;16:16:21;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;MAIZ HUMIDO;Vagão;456;456;0;0,00%;VERDE
12/09/2025;16:13:58;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;406;411;-5;-1,22%;VERDE
12/09/2025;15:50:59;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;7;;CAPIASU;Vagão;2.084,00;2.084,00;0;0,00%;VERDE
12/09/2025;15:43:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;4.758,00;4.763,00;-5;-0,11%;VERDE
12/09/2025;15:32:57;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.531,00;1.526,00;5;0,33%;VERDE
12/09/2025;15:30:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.313,00;1.298,00;15;1,16%;VERDE
12/09/2025;15:01:52;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.773,00;4.763,00;10;0,21%;VERDE
12/09/2025;14:56:22;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;Sorgo, moído (nº3);Vagão;2.894,00;2.909,00;-15;-0,52%;VERDE
12/09/2025;14:50:40;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
12/09/2025;14:48:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
12/09/2025;14:41:22;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;FARELO DE SOJA;Vagão;2.192,00;2.187,00;5;0,23%;VERDE
12/09/2025;14:33:17;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;Cloreto de sódio (Sal Comum);Vagão;320;315;5;1,59%;VERDE
12/09/2025;14:27:57;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;Fosfato Bicálcico 18;Vagão;153;148;5;3,38%;AMARELO
12/09/2025;14:24:54;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;NUCLEO PASTO;Vagão;145;145;0;0,00%;VERDE
12/09/2025;14:16:25;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;6;;UREIA PECUARIA;Vagão;306;296;10;3,38%;AMARELO
12/09/2025;14:10:42;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, silagem;Vagão;4.225,00;4.230,00;-5;-0,12%;VERDE
12/09/2025;13:59:48;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
12/09/2025;13:56:44;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
12/09/2025;13:29:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
12/09/2025;13:18:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
12/09/2025;13:15:47;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;1.303,00;1.298,00;5;0,39%;VERDE
12/09/2025;11:01:37;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;MAIZ HUMIDO;Vagão;1.112,00;1.037,00;75;7,23%;VERMELHO
12/09/2025;10:53:14;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;CAPIASU;Vagão;2.831,00;2.816,00;15;0,53%;VERDE
12/09/2025;10:33:28;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;FARELO DE SOJA;Vagão;4.537,00;4.512,00;25;0,55%;VERDE
12/09/2025;10:25:24;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;CALCAREO;Vagão;426;416;10;2,40%;VERDE
12/09/2025;10:16:59;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;UREIA PECUARIA;Vagão;588;578;10;1,73%;VERDE
12/09/2025;10:10:19;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;NUCLEO CONFINAMIENTO;Vagão;499;494;5;1,01%;VERDE
12/09/2025;09:59:32;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.758,00;4.763,00;-5;-0,11%;VERDE
12/09/2025;09:47:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
12/09/2025;09:46:17;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Sorgo, moído (nº3);Vagão;2.904,00;2.909,00;-5;-0,17%;VERDE
12/09/2025;09:45:20;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
12/09/2025;09:34:30;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;FARELO DE SOJA;Vagão;2.187,00;2.187,00;0;0,00%;VERDE
12/09/2025;09:27:36;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Cloreto de sódio (Sal Comum);Vagão;315;315;0;0,00%;VERDE
12/09/2025;09:23:42;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Fosfato Bicálcico 18;Vagão;148;148;0;0,00%;VERDE
12/09/2025;09:22:14;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;NUCLEO PASTO;Vagão;150;145;5;3,45%;AMARELO
12/09/2025;09:19:30;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;UREIA PECUARIA;Vagão;301;296;5;1,69%;VERDE
12/09/2025;09:03:52;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
12/09/2025;08:51:14;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;MAIZ HUMIDO;Vagão;1.774,00;1.769,00;5;0,28%;VERDE
12/09/2025;08:48:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.595,00;1.595,00;0;0,00%;VERDE
12/09/2025;08:14:41;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
12/09/2025;08:11:51;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
12/09/2025;08:05:27;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;3;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
12/09/2025;07:58:30;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
12/09/2025;07:46:07;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;MAIZ HUMIDO;Vagão;1.570,00;1.555,00;15;0,97%;VERDE
12/09/2025;07:32:03;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.788,00;4.763,00;25;0,53%;VERDE
12/09/2025;07:20:45;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
12/09/2025;07:18:07;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
12/09/2025;06:30:49;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;CAPIASU;Vagão;4.224,00;4.224,00;0;0,00%;VERDE
12/09/2025;06:25:23;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;2.597,00;2.582,00;15;0,58%;VERDE
12/09/2025;06:15:34;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;1.105,00;1.080,00;25;2,32%;VERDE
12/09/2025;06:14:11;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;988;973;15;1,54%;VERDE
12/09/2025;06:08:46;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;MAIZ HUMIDO;Vagão;1.555,00;1.555,00;0;0,00%;VERDE
11/09/2025;18:54:00;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;11;;MAIZ HUMIDO;Vagão;513;513;0;0,00%;VERDE
11/09/2025;18:48:08;RUBEN VIERA;;BAHMAN;RECRIA FEMEA 08/08/2025;11;;CAPIASU;Vagão;1.388,00;1.393,00;-5;-0,36%;VERDE
11/09/2025;16:53:40;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;16:42:38;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
11/09/2025;16:39:57;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
11/09/2025;16:29:59;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;MAIZ HUMIDO;Vagão;1.490,00;1.480,00;10;0,68%;VERDE
11/09/2025;16:18:21;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;CAPIASU;Vagão;4.024,00;4.019,00;5;0,12%;VERDE
11/09/2025;15:57:35;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Sorgo, silagem;Vagão;4.220,00;4.220,00;0;0,00%;VERDE
11/09/2025;15:44:06;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;MAIZ HUMIDO;Vagão;1.760,00;1.765,00;-5;-0,28%;VERDE
11/09/2025;15:41:33;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.596,00;1.591,00;5;0,31%;VERDE
11/09/2025;15:29:27;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;FARELO DE SOJA;Vagão;4.502,00;4.512,00;-10;-0,22%;VERDE
11/09/2025;15:21:26;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;NUCLEO CONFINAMIENTO;Vagão;529;494;35;7,09%;VERMELHO
11/09/2025;15:16:46;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;UREIA PECUARIA;Vagão;588;578;10;1,73%;VERDE
11/09/2025;15:01:36;RUBEN VIERA;;SILOKING;PRE-MISTURA PECPHOS;4;;CALCAREO;Vagão;421;416;5;1,20%;VERDE
11/09/2025;14:52:31;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;14:41:18;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
11/09/2025;14:38:48;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.303,00;1.298,00;5;0,39%;VERDE
11/09/2025;14:34:43;RUBEN VIERA;;SILOKING;PRE-MISTURA RECRIA;3;;FARELO DE SOJA;Vagão;4.366,00;4.366,00;0;0,00%;VERDE
11/09/2025;14:26:35;RUBEN VIERA;;SILOKING;PRE-MISTURA RECRIA;3;;NUCLEO CONFINAMIENTO;Vagão;495;495;0;0,00%;VERDE
11/09/2025;14:19:32;RUBEN VIERA;;SILOKING;PRE-MISTURA RECRIA;3;;CALCAREO;Vagão;449;444;5;1,13%;VERDE
11/09/2025;14:09:20;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;14:08:52;RUBEN VIERA;;SILOKING;PRE-MISTURA RECRIA;3;;UREIA PECUARIA;Vagão;695;695;0;0,00%;VERDE
11/09/2025;13:58:51;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
11/09/2025;13:56:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.308,00;1.298,00;10;0,77%;VERDE
11/09/2025;13:32:16;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;2.274,00;2.274,00;0;0,00%;VERDE
11/09/2025;13:23:06;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;951;951;0;0,00%;VERDE
11/09/2025;13:20:51;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, grão úmido silagem;Vagão;852;857;-5;-0,58%;VERDE
11/09/2025;09:59:09;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;09:35:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
11/09/2025;09:32:14;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;5;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
11/09/2025;09:01:56;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;08:51:49;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;MAIZ HUMIDO;Vagão;1.521,00;1.526,00;-5;-0,33%;VERDE
11/09/2025;08:49:27;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;4;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
11/09/2025;08:11:54;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Sorgo, silagem;Vagão;2.641,00;2.641,00;0;0,00%;VERDE
11/09/2025;08:02:05;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;MAIZ HUMIDO;Vagão;1.100,00;1.105,00;-5;-0,45%;VERDE
11/09/2025;08:00:15;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;3;;Sorgo, grão úmido silagem;Vagão;996;996;0;0,00%;VERDE
11/09/2025;07:48:20;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;CAPIASU;Vagão;3.731,00;3.731,00;0;0,00%;VERDE
11/09/2025;07:36:11;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;2;;MAIZ HUMIDO;Vagão;1.374,00;1.374,00;0;0,00%;VERDE
11/09/2025;07:26:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
11/09/2025;07:14:55;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;MAIZ HUMIDO;Vagão;1.531,00;1.526,00;5;0,33%;VERDE
11/09/2025;07:12:24;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;2;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
11/09/2025;06:25:16;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;CAPIASU;Vagão;3.731,00;3.731,00;0;0,00%;VERDE
11/09/2025;06:21:50;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, silagem;Vagão;2.058,00;2.043,00;15;0,73%;VERDE
11/09/2025;06:05:59;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;1;;MAIZ HUMIDO;Vagão;1.369,00;1.374,00;-5;-0,36%;VERDE
11/09/2025;06:04:02;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;MAIZ HUMIDO;Vagão;855;855;0;0,00%;VERDE
11/09/2025;06:01:53;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;1;;Sorgo, grão úmido silagem;Vagão;765;770;-5;-0,65%;VERDE
10/09/2025;17:27:10;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Sorgo, silagem;Vagão;903;903;0;0,00%;VERDE
10/09/2025;17:19:15;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;MAIZ HUMIDO;Vagão;289;289;0;0,00%;VERDE
10/09/2025;17:17:29;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;11;;Sorgo, grão úmido silagem;Vagão;261;246;15;6,10%;VERMELHO
10/09/2025;16:37:38;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Sorgo, silagem;Vagão;4.116,00;4.116,00;0;0,00%;VERDE
10/09/2025;16:25:21;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;MAIZ HUMIDO;Vagão;1.717,00;1.722,00;-5;-0,29%;VERDE
10/09/2025;16:23:18;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;MAIZ HUMIDO;Vagão;1.398,00;1.398,00;0;0,00%;VERDE
10/09/2025;16:21:03;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;10;;Sorgo, grão úmido silagem;Vagão;1.567,00;1.552,00;15;0,97%;VERDE
10/09/2025;16:06:46;RUBEN VIERA;;SILOKING;RECRIA FEMEA 08/08/2025;5;;CAPIASU;Vagão;3.801,00;3.796,00;5;0,13%;VERDE
10/09/2025;15:47:03;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
10/09/2025;15:36:40;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;MAIZ HUMIDO;Vagão;1.536,00;1.526,00;10;0,66%;VERDE
10/09/2025;15:34:22;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;9;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;15:31:20;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;Sorgo, moído (nº3);Vagão;2.914,00;2.909,00;5;0,17%;VERDE
10/09/2025;15:19:44;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;FARELO DE SOJA;Vagão;2.182,00;2.187,00;-5;-0,23%;VERDE
10/09/2025;15:12:02;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;UREIA PECUARIA;Vagão;296;296;0;0,00%;VERDE
10/09/2025;15:04:31;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;Cloreto de sódio (Sal Comum);Vagão;315;315;0;0,00%;VERDE
10/09/2025;15:00:29;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;Fosfato Bicálcico 18;Vagão;148;148;0;0,00%;VERDE
10/09/2025;14:56:20;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;4;;NUCLEO PASTO;Vagão;150;145;5;3,45%;AMARELO
10/09/2025;14:46:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, silagem;Vagão;4.763,00;4.763,00;0;0,00%;VERDE
10/09/2025;14:34:06;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;14:31:39;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;8;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;14:05:12;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, silagem;Vagão;4.758,00;4.763,00;-5;-0,11%;VERDE
10/09/2025;13:52:26;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;MAIZ HUMIDO;Vagão;1.526,00;1.526,00;0;0,00%;VERDE
10/09/2025;13:50:04;RUBEN VIERA;;BAHMAN;CRECIMIENTO SORGO.19/08/2025;7;;Sorgo, grão úmido silagem;Vagão;1.298,00;1.298,00;0;0,00%;VERDE
10/09/2025;13:46:27;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Sorgo, moído (nº3);Vagão;2.909,00;2.909,00;0;0,00%;VERDE
10/09/2025;13:33:44;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;UREIA PECUARIA;Vagão;301;296;5;1,69%;VERDE
10/09/2025;13:29:27;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;FARELO DE SOJA;Vagão;2.187,00;2.187,00;0;0,00%;VERDE
10/09/2025;13:24:32;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Cloreto de sódio (Sal Comum);Vagão;315;315;0;0,00%;VERDE
10/09/2025;13:18:29;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;Fosfato Bicálcico 18;Vagão;143;148;-5;-3,38%;AMARELO
10/09/2025;13:17:06;RUBEN VIERA;;SILOKING;PROTEINADO 03.%PV;3;;NUCLEO PASTO;Vagão;145;145;0;0,00%;VERDE
10/09/2025;10:56:55;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;Sorgo, silagem;Vagão;4.230,00;4.230,00;0;0,00%;VERDE
10/09/2025;10:45:01;RUBEN VIERA;;BAHMAN;TERMINACION SORGO-19/08/2025;6;;MAIZ HUMIDO;Vagão;1.769,00;1.769,00;0;0,00%;VERDE
